Date,Open,High,Low,Close,Adj Close,Volume
4/01/2010,30.49,30.642857,30.34,30.572857,26.68133,123432400
5/01/2010,30.657143,30.798571,30.464285,30.625713,26.727465,150476200
6/01/2010,30.625713,30.747143,30.107143,30.138571,26.30233,138040000
7/01/2010,30.25,30.285715,29.864286,30.082857,26.253704,119282800
8/01/2010,30.042856,30.285715,29.865715,30.282858,26.428249,111902700
11/01/2010,30.4,30.428572,29.778572,30.015715,26.195114,115557400
12/01/2010,29.884285,29.967142,29.488571,29.674286,25.897146,148614900
13/01/2010,29.695715,30.132856,29.157143,30.092857,26.262434,151473000
14/01/2010,30.015715,30.065714,29.860001,29.918571,26.11034,108223500
15/01/2010,30.132856,30.228571,29.41,29.418571,25.673977,148516900
19/01/2010,29.761429,30.741428,29.605715,30.719999,26.809748,182501900
20/01/2010,30.701429,30.792856,29.928572,30.247143,26.397085,153038200
21/01/2010,30.297142,30.472857,29.601429,29.724285,25.940775,152038600
22/01/2010,29.540001,29.642857,28.165714,28.25,24.654148,220441900
25/01/2010,28.93,29.242857,28.598572,29.01,25.317411,266424900
26/01/2010,29.421429,30.530001,28.940001,29.42,25.675222,466777500
27/01/2010,29.549999,30.082857,28.504286,29.697144,25.917091,430642100
28/01/2010,29.275715,29.357143,28.385714,28.469999,24.846146,293375600
29/01/2010,28.725714,28.885714,27.178572,27.437143,23.944765,311488100
1/02/2010,27.481428,28,27.328571,27.818571,24.277634,187469100
2/02/2010,27.987143,28.045713,27.625713,27.98,24.418516,174585600
3/02/2010,27.881428,28.6,27.774286,28.461428,24.838663,153832000
4/02/2010,28.104286,28.338572,27.367144,27.435715,23.943514,189413000
5/02/2010,27.518572,28,27.264286,27.922857,24.368649,212576700
8/02/2010,27.955715,28.268572,27.714285,27.731428,24.201584,119567700
9/02/2010,28.059999,28.214285,27.821428,28.027143,24.459652,158221700
10/02/2010,27.984285,28.085714,27.751429,27.874287,24.326265,92590400
11/02/2010,27.84,28.535715,27.722857,28.381428,24.768839,137586400
12/02/2010,28.301428,28.805714,27.928572,28.625713,24.982042,163867200
16/02/2010,28.848572,29.098572,28.788572,29.057142,25.358553,135934400
17/02/2010,29.17,29.187143,28.694286,28.935715,25.252583,109099200
18/02/2010,28.804285,29.127142,28.702858,28.99,25.299952,105706300
19/02/2010,28.837143,29.028572,28.73,28.809999,25.14287,103867400
22/02/2010,28.905714,28.928572,28.455715,28.631428,24.987026,97640900
23/02/2010,28.571428,28.761429,27.95857,28.151428,24.568123,143773700
24/02/2010,28.318571,28.777143,28.262857,28.665714,25.016949,115141600
25/02/2010,28.197144,28.98,28.127142,28.857143,25.184011,166281500
26/02/2010,28.911428,29.309999,28.857143,29.231428,25.510654,126865200
1/03/2010,29.392857,29.928572,29.35,29.855715,26.055475,137523400
2/03/2010,29.99,30.118572,29.677143,29.835714,26.038023,141636600
3/03/2010,29.848572,29.981428,29.705715,29.904285,26.097862,93013200
4/03/2010,29.897142,30.131428,29.804285,30.101429,26.269913,91510300
5/03/2010,30.705715,31.385714,30.661428,31.278572,27.297226,224905100
8/03/2010,31.43,31.441429,31.178572,31.297142,27.313427,107472400
9/03/2010,31.187143,32.142857,31.127142,31.860001,27.804647,230064800
10/03/2010,31.975714,32.21143,31.885714,32.119999,28.031548,149054500
11/03/2010,31.987143,32.214287,31.902857,32.214287,28.113834,101425100
12/03/2010,32.48143,32.532856,32.25,32.371429,28.250973,104080900
15/03/2010,32.197144,32.214287,31.464285,31.977142,27.906878,123375700
16/03/2010,32.025715,32.139999,31.787144,32.064285,27.982925,111727000
17/03/2010,32.128571,32.349998,31.895714,32.017143,27.941782,112739200
18/03/2010,32.014286,32.142857,31.801428,32.092857,28.007864,85527400
19/03/2010,32.112858,32.177143,31.604286,31.75,27.708637,139861400
22/03/2010,31.495714,32.285713,31.450001,32.107143,28.020332,114104900
23/03/2010,32.234287,32.682858,32.014286,32.622856,28.4704,150607800
24/03/2010,32.52,32.885715,32.501427,32.767143,28.596317,149445100
25/03/2010,32.988571,32.995716,32.32143,32.378571,28.257208,135571100
26/03/2010,32.707142,33.135715,32.650002,32.985714,28.787071,160218800
29/03/2010,33.285713,33.41,33.08857,33.19857,28.972826,135186100
30/03/2010,33.799999,33.925713,33.464287,33.692856,29.404207,131827500
31/03/2010,33.64143,33.80143,33.494286,33.57143,29.298233,107664900
1/04/2010,33.915714,34.104286,33.25,33.709999,29.419161,150786300
5/04/2010,33.568573,34.072857,33.53857,34.07,29.733339,171126900
6/04/2010,34.028572,34.32,33.857143,34.220001,29.864252,111754300
7/04/2010,34.221428,34.560001,34.094284,34.371429,29.996407,157125500
8/04/2010,34.348572,34.505714,34.005714,34.278572,29.915356,143247300
9/04/2010,34.490002,34.555714,34.351429,34.541428,30.144762,83545700
12/04/2010,34.599998,34.724285,34.544285,34.612858,30.207104,83256600
13/04/2010,34.55143,34.685715,34.444286,34.632858,30.224554,76552700
14/04/2010,35.040001,35.115715,34.867142,35.098572,30.630991,101019100
15/04/2010,35.111427,35.575714,35.072857,35.560001,31.033689,94196200
16/04/2010,35.509998,35.877144,34.935715,35.342857,30.844177,187636400
19/04/2010,35.290001,35.412857,34.53857,35.295715,30.803041,141731100
20/04/2010,35.505714,35.607143,34.708572,34.941429,30.493841,184581600
21/04/2010,36.971428,37.17857,36.532856,37.031429,32.317822,245597800
22/04/2010,36.89143,38.107143,36.599998,38.067142,33.221703,198356200
23/04/2010,38.284286,38.882858,38.142857,38.689999,33.76527,199238900
26/04/2010,38.84,38.922855,38.312859,38.5,33.599468,119767200
27/04/2010,38.181427,38.262856,37.217144,37.434284,32.669388,177335900
28/04/2010,37.607143,37.714287,36.630001,37.371429,32.61454,189600600
29/04/2010,37.574287,38.57143,37.43,38.377144,33.492241,139710200
30/04/2010,38.472858,38.652859,37.285713,37.298573,32.550953,135615900
3/05/2010,37.691429,38.26857,37.554287,38.049999,33.206734,113585500
4/05/2010,37.555714,37.612858,36.67857,36.954285,32.250492,180954900
5/05/2010,36.147144,36.877144,35.532856,36.57,31.915121,220775800
6/05/2010,36.261429,36.892857,28.464285,35.17857,30.700811,321465200
7/05/2010,34.815716,35.224285,32.172855,33.694286,29.405457,419004600
10/05/2010,35.75,36.378571,35.504284,36.284286,31.665779,246076600
11/05/2010,35.977142,37.127144,35.785713,36.645714,31.981192,212226700
12/05/2010,37.034286,37.59,36.957142,37.441429,32.675625,163594900
13/05/2010,37.602856,37.857143,36.628571,36.908573,32.210598,149928100
14/05/2010,36.451427,36.639999,35.642857,36.259998,31.644581,189840700
17/05/2010,36.385715,36.597141,35.387142,36.317142,31.694458,190708700
18/05/2010,36.71143,36.935715,35.751427,36.05143,31.462564,195669600
19/05/2010,35.642857,36.131428,34.978573,35.477142,30.961369,256431700
20/05/2010,34.554287,34.835712,33.744286,33.965714,29.642332,320728800
21/05/2010,33.259998,34.92857,33.049999,34.617142,30.210833,305972800
24/05/2010,35.325714,35.842857,35.18,35.251427,30.764381,188559700
25/05/2010,34.192856,35.251427,33.880001,35.031429,30.572392,262001600
26/05/2010,35.725716,36.01857,34.82143,34.872856,30.433996,212663500
27/05/2010,35.799999,36.27,35.587143,36.192856,31.585985,166570600
28/05/2010,37.055714,37.057144,36.192856,36.697144,32.026073,203903700
1/06/2010,37.098572,37.991428,36.994286,37.261429,32.518543,219118200
2/06/2010,37.791428,37.828571,37.189999,37.707142,32.907528,172137000
3/06/2010,37.882858,37.935715,37.201427,37.58857,32.804039,162526700
4/06/2010,36.887142,37.414288,36.375713,36.565716,31.911379,189576100
7/06/2010,36.898571,37.021427,35.792858,35.848572,31.285513,221735500
8/06/2010,36.177143,36.257141,35.092857,35.618572,31.084806,250192600
9/06/2010,35.924286,35.985714,34.64143,34.742859,30.32056,213657500
10/06/2010,34.977142,35.854286,34.599998,35.787144,31.231916,194089000
11/06/2010,35.46143,36.265713,35.33857,36.215714,31.60593,136439800
14/06/2010,36.565716,37.021427,36.287144,36.325714,31.701933,150740100
15/06/2010,36.52,37.121429,36.5,37.098572,32.376411,146268500
16/06/2010,37.299999,38.25,37.232857,38.17857,33.318943,195919500
17/06/2010,38.657143,38.985714,38.5,38.83857,33.894928,218213800
18/06/2010,38.892857,39.285713,38.774284,39.152859,34.16922,196155400
21/06/2010,39.669998,39.85857,38.389999,38.595715,33.682995,194122600
22/06/2010,38.880001,39.424286,38.785713,39.121429,34.141785,179315500
23/06/2010,39.225716,39.237144,38.271427,38.709999,33.782722,192114300
24/06/2010,38.714287,39.028572,38.299999,38.42857,33.537117,178569300
25/06/2010,38.580002,38.610001,37.972858,38.099998,33.250359,137485600
28/06/2010,38.132858,38.535713,37.78857,38.328571,33.449856,146237000
29/06/2010,37.73143,37.77,36.328571,36.595715,31.937559,283336200
30/06/2010,36.672855,36.852856,35.715714,35.932858,31.359079,184863000
1/07/2010,36.328571,36.400002,34.745716,35.497143,30.978832,255724000
2/07/2010,35.784286,35.847141,34.742859,35.277142,30.786827,173460700
6/07/2010,35.857143,36.114285,35.165714,35.51857,30.997526,153808900
7/07/2010,35.784286,36.967144,35.67857,36.952858,32.249252,163639000
8/07/2010,37.497143,37.557144,36.412857,36.869999,32.176937,184536100
9/07/2010,36.69857,37.128571,36.451427,37.08857,32.367691,108330600
12/07/2010,36.932858,37.407143,36.408573,36.755714,32.077202,140719600
13/07/2010,36.617142,36.628571,35.204285,35.971428,31.392744,297731000
14/07/2010,35.625713,36.542858,35.57143,36.104286,31.508682,203011900
15/07/2010,35.46143,36.709999,35.328571,35.921429,31.349104,206216500
16/07/2010,36.168571,36.424286,35.487144,35.700001,31.155872,259964600
19/07/2010,35.697144,35.697144,34.228573,35.082859,30.617285,256119500
20/07/2010,34.700001,36.128571,34.287144,35.984287,31.403971,268737700
21/07/2010,37.869999,37.878571,36.285713,36.32,31.696947,296417800
22/07/2010,36.811428,37.142857,36.472858,37.002857,32.292885,161329700
23/07/2010,36.727142,37.197144,36.611427,37.134285,32.407585,133347200
26/07/2010,37.142857,37.157143,36.815716,37.040001,32.325306,105137900
27/07/2010,37.267143,37.828571,37.185715,37.725716,32.923737,146192900
28/07/2010,37.667141,37.998573,37.17857,37.279999,32.53474,129996300
29/07/2010,37.244286,37.521427,36.585712,36.872856,32.179436,160951700
30/07/2010,36.555714,37.099998,36.414288,36.75,32.072212,112052500
2/08/2010,37.205715,37.512856,37.08857,37.407143,32.645702,107013900
3/08/2010,37.287144,37.60857,37.060001,37.418571,32.655678,104413400
4/08/2010,37.548573,37.754284,37.187141,37.568573,32.786594,105093800
5/08/2010,37.389999,37.597141,37.221428,37.385715,32.627014,72274300
6/08/2010,37.111427,37.355713,36.804287,37.155716,32.426285,111224400
9/08/2010,37.354286,37.450001,37.081429,37.392857,32.633244,75782000
10/08/2010,37.121429,37.207142,36.792858,37.058571,32.341507,112980000
11/08/2010,36.485714,36.527142,35.687141,35.741428,31.192019,155013600
12/08/2010,35.241428,36.157143,35.16,35.970001,31.391485,133730100
13/08/2010,35.950001,35.982857,35.584286,35.585712,31.056124,88717300
16/08/2010,35.368572,35.715714,35.23143,35.377144,30.8741,79607500
17/08/2010,35.725716,36.375713,35.599998,35.995716,31.413929,105660100
18/08/2010,36.05143,36.381428,35.939999,36.152859,31.551073,84924000
19/08/2010,36.119999,36.21143,35.525715,35.697144,31.15337,106676500
20/08/2010,35.627144,36.274284,35.57143,35.662857,31.123449,96057500
23/08/2010,35.970001,36,35.035713,35.114285,30.644699,103510400
24/08/2010,34.667141,34.714287,34.092857,34.275715,29.912874,150641400
25/08/2010,34.005714,34.855713,33.885715,34.69857,30.281908,149216900
26/08/2010,35.064285,35.107143,34.325714,34.325714,29.956512,116626300
27/08/2010,34.535713,34.658573,33.651428,34.517143,30.123568,137097800
30/08/2010,34.394287,35.107143,34.382858,34.642857,30.23328,95822300
31/08/2010,34.549999,34.937141,34.335712,34.728573,30.308084,105196700
1/09/2010,35.352856,35.922855,35.182858,35.761429,31.209463,174259400
2/09/2010,35.894287,36.024284,35.509998,36.024284,31.438864,103856900
3/09/2010,36.441429,36.968571,36.357143,36.967144,32.261719,130197200
7/09/2010,36.662857,37.075714,36.607143,36.830002,32.142021,85639400
8/09/2010,37.111427,37.77,37.014286,37.560001,32.779102,131637800
9/09/2010,37.862858,38.074287,37.560001,37.581429,32.797817,109643800
10/09/2010,37.598572,37.785713,37.342857,37.630001,32.840195,96885600
13/09/2010,37.974285,38.325714,37.965714,38.148571,33.29277,97195000
14/09/2010,38.029999,38.452858,37.931427,38.294285,33.419926,102037600
15/09/2010,38.310001,38.625713,38.262856,38.602856,33.689224,107342200
16/09/2010,38.605713,39.524284,38.5,39.509998,34.480896,163025800
