BillNo,Itemname,Quantity,Date,Price,CustomerID,cost
536365,KNITTED UNION FLAG HOT WATER BOTTLE,6,1/12/2010 8:26,3.39,17850,20.34
536365,GLASS STAR FROSTED T-LIGHT HOLDER,6,1/12/2010 8:26,4.25,17850,25.5
536365,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 8:26,2.55,17850,15.3
536365,RED WOOLLY HOTTIE WHITE HEART.,6,1/12/2010 8:26,3.39,17850,20.34
536365,SET 7 BABUSHKA NESTING BOXES,2,1/12/2010 8:26,7.65,17850,15.3
536365,CREAM CUPID HEARTS COAT HANGER,8,1/12/2010 8:26,2.75,17850,22
536365,WHITE METAL LANTERN,6,1/12/2010 8:26,3.39,17850,20.34
536366,HAND WARMER UNION JACK,6,1/12/2010 8:28,1.85,17850,11.1
536366,HAND WARMER RED POLKA DOT,6,1/12/2010 8:28,1.85,17850,11.1
536367,HOME BUILDING BLOCK WORD,3,1/12/2010 8:34,5.95,13047,17.85
536368,BLUE COAT RACK PARIS FASHION,3,1/12/2010 8:34,4.95,13047,14.85
536367,BOX OF VINTAGE ALPHABET BLOCKS,2,1/12/2010 8:34,9.95,13047,19.9
536367,BOX OF VINTAGE JIGSAW BLOCKS,3,1/12/2010 8:34,4.95,13047,14.85
536367,LOVE BUILDING BLOCK WORD,3,1/12/2010 8:34,5.95,13047,17.85
536367,IVORY KNITTED MUG COSY,6,1/12/2010 8:34,1.65,13047,9.9
536367,POPPY'S PLAYHOUSE BEDROOM,6,1/12/2010 8:34,2.1,13047,12.6
536367,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,1/12/2010 8:34,4.25,13047,25.5
536367,RECIPE BOX WITH METAL HEART,4,1/12/2010 8:34,7.95,13047,31.8
536367,POPPY'S PLAYHOUSE KITCHEN,6,1/12/2010 8:34,2.1,13047,12.6
536368,JAM MAKING SET WITH JARS,6,1/12/2010 8:34,4.25,13047,25.5
536368,YELLOW COAT RACK PARIS FASHION,3,1/12/2010 8:34,4.95,13047,14.85
536368,RED COAT RACK PARIS FASHION,3,1/12/2010 8:34,4.95,13047,14.85
536367,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,1/12/2010 8:34,3.75,13047,30
536367,DOORMAT NEW ENGLAND,4,1/12/2010 8:34,7.95,13047,31.8
536369,BATH BUILDING BLOCK WORD,3,1/12/2010 8:35,5.95,13047,17.85
536372,HAND WARMER RED POLKA DOT,6,1/12/2010 9:01,1.85,17850,11.1
536372,HAND WARMER UNION JACK,6,1/12/2010 9:01,1.85,17850,11.1
536373,KNITTED UNION FLAG HOT WATER BOTTLE,6,1/12/2010 9:02,3.39,17850,20.34
536373,WOOD 2 DRAWER CABINET WHITE FINISH,2,1/12/2010 9:02,4.95,17850,9.9
536373,RED WOOLLY HOTTIE WHITE HEART.,6,1/12/2010 9:02,3.39,17850,20.34
536373,WOODEN FRAME ANTIQUE WHITE,6,1/12/2010 9:02,2.55,17850,15.3
536373,SET 7 BABUSHKA NESTING BOXES,2,1/12/2010 9:02,7.65,17850,15.3
536373,RETRO COFFEE MUGS ASSORTED,6,1/12/2010 9:02,1.06,17850,6.36
536373,VINTAGE BILLBOARD DRINK ME MUG,6,1/12/2010 9:02,1.06,17850,6.36
536373,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 9:02,2.55,17850,15.3
536373,SAVE THE PLANET MUG,6,1/12/2010 9:02,1.06,17850,6.36
536373,WHITE METAL LANTERN,6,1/12/2010 9:02,3.39,17850,20.34
536373,WOODEN PICTURE FRAME WHITE FINISH,6,1/12/2010 9:02,2.1,17850,12.6
536373,EDWARDIAN PARASOL RED,6,1/12/2010 9:02,4.95,17850,29.7
536373,WOOD S/3 CABINET ANT WHITE FINISH,4,1/12/2010 9:02,6.95,17850,27.8
536373,GLASS STAR FROSTED T-LIGHT HOLDER,6,1/12/2010 9:02,4.25,17850,25.5
536373,VINTAGE BILLBOARD LOVE/HATE MUG,6,1/12/2010 9:02,1.06,17850,6.36
536373,CREAM CUPID HEARTS COAT HANGER,8,1/12/2010 9:02,2.75,17850,22
536375,SAVE THE PLANET MUG,6,1/12/2010 9:32,1.06,17850,6.36
536375,RED WOOLLY HOTTIE WHITE HEART.,6,1/12/2010 9:32,3.39,17850,20.34
536375,WOOD 2 DRAWER CABINET WHITE FINISH,2,1/12/2010 9:32,4.95,17850,9.9
536375,VINTAGE BILLBOARD LOVE/HATE MUG,6,1/12/2010 9:32,1.06,17850,6.36
536375,SET 7 BABUSHKA NESTING BOXES,2,1/12/2010 9:32,7.65,17850,15.3
536375,RETRO COFFEE MUGS ASSORTED,6,1/12/2010 9:32,1.06,17850,6.36
536375,KNITTED UNION FLAG HOT WATER BOTTLE,6,1/12/2010 9:32,3.39,17850,20.34
536375,WOOD S/3 CABINET ANT WHITE FINISH,4,1/12/2010 9:32,6.95,17850,27.8
536375,EDWARDIAN PARASOL RED,6,1/12/2010 9:32,4.95,17850,29.7
536375,WHITE METAL LANTERN,6,1/12/2010 9:32,3.39,17850,20.34
536375,WOODEN PICTURE FRAME WHITE FINISH,6,1/12/2010 9:32,2.1,17850,12.6
536375,VINTAGE BILLBOARD DRINK ME MUG,6,1/12/2010 9:32,1.06,17850,6.36
536375,CREAM CUPID HEARTS COAT HANGER,8,1/12/2010 9:32,2.75,17850,22
536375,GLASS STAR FROSTED T-LIGHT HOLDER,6,1/12/2010 9:32,4.25,17850,25.5
536375,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/2010 9:32,2.55,17850,15.3
536375,WOODEN FRAME ANTIQUE WHITE,6,1/12/2010 9:32,2.55,17850,15.3
536377,HAND WARMER RED POLKA DOT,6,1/12/2010 9:34,1.85,17850,11.1
536377,HAND WARMER UNION JACK,6,1/12/2010 9:34,1.85,17850,11.1
536378,JUMBO BAG CHARLIE AND LOLA TOYS,10,1/12/2010 9:37,2.95,14688,29.5
536378,JUMBO BAG PINK VINTAGE PAISLEY,10,1/12/2010 9:37,1.95,14688,19.5
536378,JUMBO STORAGE BAG SUKI,10,1/12/2010 9:37,1.95,14688,19.5
536378,JUMBO BAG PINK POLKADOT,10,1/12/2010 9:37,1.95,14688,19.5
